CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
524.0,France,Male,41,3,85944.67,1,0,1,138530.84,0
758.0,Spain,Female,53,8,8387.92,1,1,1,51071.11,0
698.0,France,Female,33,10,0.0,3,1,0,83165.7,1
719.0,Germany,Female,27,1,0.0,1,0,0,138985.99,0
684.0,France,Female,18,0,16398.76,1,0,0,164712.77,0
747.0,France,Female,37,6,97661.54,1,1,1,9792.73,0
671.0,France,Male,40,6,187292.97,2,1,1,36561.36,0
544.0,Spain,Female,36,7,31438.4,1,1,1,5612.95,0
627.0,France,Male,36,0,207347.61,1,0,0,45209.46,0
663.0,Germany,Female,39,10,0.0,1,1,0,76059.24,0
548.0,Germany,Male,36,6,0.0,1,1,0,161790.23,0
669.0,France,Male,43,1,13959.97,1,1,0,49122.72,0
564.0,France,Female,49,8,150412.98,1,1,0,5928.53,0
531.0,France,Female,31,6,97200.85,2,0,1,482.02,1
797.0,Germany,Male,47,10,154932.57,1,1,0,136068.3,0
514.0,France,Female,50,4,98578.42,1,0,1,71363.71,0
514.0,Germany,Male,34,6,70473.27,2,0,0,170898.28,1
660.0,France,Female,42,4,88985.42,2,0,1,148866.28,0
762.0,Germany,Female,48,1,31678.58,2,1,0,8313.64,0
540.0,Spain,Male,51,9,29676.87,2,1,0,83588.74,0
741.0,France,Female,28,6,142202.51,2,1,1,25416.97,0
681.0,France,Female,49,8,0.0,2,1,1,134155.12,0
682.0,Spain,Male,21,10,163454.51,2,1,0,87463.12,0
613.0,France,Male,50,5,0.0,2,1,0,105310.93,0
689.0,Spain,Male,25,1,48048.74,1,1,1,59235.9,0
571.0,France,Male,19,6,260000.0,1,1,1,194883.44,0
639.0,Germany,Female,55,0,206650.59,2,1,0,147734.42,1
720.0,Germany,Female,51,10,0.0,1,1,0,76117.3,1
591.0,Spain,Female,43,8,94106.91,1,1,1,182617.13,0
700.0,France,Female,48,0,66999.91,1,1,0,56559.25,0
606.0,Spain,Male,60,0,0.0,2,1,0,65439.92,1
743.0,France,Male,40,7,59585.28,2,1,1,33434.85,0
629.0,France,Female,35,4,0.0,1,1,1,2529.87,0
555.0,Spain,Female,34,0,215683.71,2,1,0,58278.4,0
635.0,Spain,Male,27,2,0.0,2,0,0,99409.74,0
532.0,France,Male,21,3,153715.78,2,1,1,16289.76,0
541.0,Spain,Female,38,3,70293.93,1,1,1,51519.78,0
651.0,Germany,Male,30,9,60490.61,2,1,1,121661.35,0
572.0,France,Female,22,0,138866.53,2,0,0,76374.76,0
751.0,France,Female,27,9,158562.98,2,1,1,3031.39,0
586.0,France,Male,29,5,0.0,2,1,0,49204.33,0
585.0,France,Male,43,9,0.0,1,1,1,199557.39,0
551.0,France,Female,50,0,197059.66,2,0,1,127807.17,0
438.0,France,Female,62,0,186360.99,1,1,0,57290.23,1
672.0,Spain,Female,46,2,150415.41,2,1,1,112371.85,0
629.0,France,Female,23,8,0.0,2,1,1,73152.43,0
519.0,Germany,Male,45,1,84933.91,1,1,1,133275.35,0
665.0,France,Male,38,0,0.0,1,1,0,39258.79,1
705.0,France,Male,38,0,0.0,2,1,1,26389.62,0
722.0,France,Female,45,2,154064.38,2,1,0,90440.9,0
549.0,Spain,Female,39,7,0.0,2,1,1,188972.47,0
850.0,France,Male,43,10,173395.04,1,1,0,186905.8,1
715.0,France,Male,22,9,81822.9,2,1,0,187189.47,0
648.0,Germany,Male,41,4,102583.48,1,1,1,145224.62,0
682.0,Spain,Male,30,3,221296.77,2,1,0,137770.97,0
499.0,France,Female,22,3,56538.46,2,0,1,177966.16,0
632.0,France,Female,46,4,148759.39,2,1,1,97107.43,0
555.0,France,Male,51,10,87410.39,1,0,1,138624.4,1
623.0,France,Male,36,5,85547.73,2,1,0,167610.06,0
568.0,France,Male,32,3,1292.48,2,1,0,52798.46,0
394.0,France,Male,44,10,123196.21,1,1,0,140809.43,0
643.0,Spain,Male,47,2,91404.0,1,0,0,31269.05,1
506.0,Germany,Female,27,2,0.0,2,1,1,103699.27,0
648.0,Germany,Female,31,2,22580.8,2,1,1,44733.91,0
531.0,France,Male,38,8,131793.33,2,1,0,2821.65,0
650.0,France,Male,36,4,0.0,2,1,1,44809.78,0
673.0,Spain,Male,38,2,64773.71,1,1,0,77395.12,1
591.0,France,Male,42,5,106152.86,1,1,1,73550.54,0
693.0,Germany,Female,34,1,0.0,1,1,0,84214.12,1
785.0,France,Male,32,5,90316.7,2,1,1,47636.15,0
554.0,Germany,Male,51,1,228068.3,4,1,0,170336.85,1
762.0,Germany,Female,40,10,0.0,2,0,1,91469.47,0
704.0,Germany,Female,40,7,163453.32,1,1,0,12293.48,0
705.0,France,Male,36,4,0.0,1,1,0,89230.58,0
667.0,Spain,Male,23,4,100742.21,2,0,0,131109.17,0
835.0,France,Male,34,1,0.0,1,1,0,76670.01,0
786.0,France,Male,44,10,146550.85,1,0,0,29274.39,0
682.0,Germany,Female,58,7,214406.74,2,1,0,112547.55,1
664.0,Spain,Female,36,9,0.0,2,0,1,66460.19,0
565.0,Spain,Male,37,5,78939.51,2,1,1,124266.29,0
764.0,Spain,Female,50,10,102413.0,2,1,0,199538.04,1
567.0,Spain,Male,34,6,0.0,2,1,1,61743.8,0
786.0,Germany,Male,29,8,158198.07,2,1,1,90045.59,0
691.0,France,Female,31,5,75512.32,1,1,1,84059.25,1
606.0,France,Male,54,0,0.0,1,1,0,106510.56,0
565.0,Spain,Male,48,7,0.0,2,1,0,106296.34,0
585.0,France,Male,19,8,0.0,1,1,0,12720.23,1
681.0,France,Male,49,1,148648.93,2,1,1,25162.32,0
769.0,France,Female,48,4,0.0,2,1,1,76033.33,0
592.0,Germany,Male,41,9,110323.16,2,1,1,53220.94,1
555.0,Spain,Male,25,6,147841.9,2,1,1,67435.89,0
735.0,France,Male,40,0,0.0,1,1,0,147259.18,0
644.0,Spain,Female,36,1,45535.82,2,1,0,29911.37,0
584.0,France,Male,43,0,0.0,2,0,1,48345.7,0
691.0,France,Female,18,4,209209.38,1,0,1,52646.42,0
472.0,France,Female,43,3,110153.68,1,1,0,189558.06,1
631.0,France,Male,30,1,4775.65,1,1,0,69922.96,0
696.0,Spain,Female,27,1,90134.31,1,0,0,54767.59,0
668.0,Germany,Male,29,7,96704.4,1,1,0,146317.27,0
648.0,Spain,Female,32,4,0.0,1,1,0,33776.02,1
651.0,Spain,Female,41,6,0.0,1,1,0,124143.46,0
850.0,France,Female,41,3,0.0,2,1,1,66265.27,0
615.0,France,Male,47,7,88882.92,2,0,1,23647.06,0
843.0,Spain,Female,47,8,61138.92,1,1,1,51836.62,0
574.0,Germany,Female,30,9,235238.82,2,1,0,113650.08,1
499.0,Germany,Female,39,5,14144.1,1,1,1,154219.19,1
665.0,Spain,Female,33,5,81288.7,1,1,1,115550.27,0
691.0,Spain,Male,39,10,0.0,1,1,0,32131.31,0
672.0,Spain,Female,43,9,0.0,2,0,0,74472.22,1
617.0,France,Male,37,7,44246.35,1,0,0,188704.82,0
735.0,France,Female,34,5,0.0,1,1,0,137439.77,1
702.0,Germany,Female,34,10,46921.35,1,0,1,64643.2,0
808.0,Spain,Female,58,0,0.0,1,1,1,177683.47,0
374.0,France,Male,52,5,0.0,2,0,0,88574.75,0
625.0,France,Male,42,7,100432.42,1,1,0,181502.67,0
396.0,Spain,Male,60,3,139793.14,1,1,0,37864.43,1
581.0,Spain,Male,38,1,0.0,1,0,0,263.44,0
669.0,Spain,Male,33,1,68193.17,2,0,0,118311.37,0
593.0,Germany,Female,30,6,39355.99,1,1,1,181331.45,0
693.0,France,Female,53,10,0.0,2,0,0,116699.13,0
759.0,France,Male,39,10,232675.25,1,1,0,45404.21,0
692.0,France,Male,49,4,119452.72,1,0,1,56425.16,0
600.0,France,Male,47,0,0.0,3,1,1,15444.34,0
630.0,France,Male,31,9,0.0,1,1,0,164312.27,0
580.0,Spain,Male,30,2,0.0,2,0,1,158905.74,0
507.0,Spain,Female,31,3,0.0,2,1,1,112419.42,0
744.0,Spain,Female,52,2,0.0,2,0,1,170412.5,0
518.0,Germany,Female,27,1,10955.17,1,1,0,147086.71,1
618.0,Spain,Female,37,4,62081.92,2,1,1,99139.58,0
723.0,Germany,Male,25,9,52745.48,1,0,0,83785.3,0
642.0,France,Male,49,10,146418.16,1,1,0,168005.7,0
704.0,France,Male,50,10,0.0,1,1,1,194795.69,0
603.0,France,Male,42,8,0.0,1,1,0,59800.04,0
565.0,Germany,Male,27,7,0.0,1,0,0,72232.62,0
549.0,Germany,Male,48,7,0.0,2,1,1,104925.59,0
699.0,Germany,Female,34,9,104451.31,1,0,1,116215.85,0
556.0,Germany,Female,31,9,171397.11,1,1,1,3080.51,0
668.0,Germany,Male,33,7,143644.65,1,0,1,159540.87,0
625.0,France,Male,37,7,0.0,2,0,1,184939.94,0
525.0,Germany,Male,46,0,0.0,2,1,1,170863.17,0
683.0,Spain,Female,43,9,0.0,1,1,1,74686.72,0
769.0,France,Female,30,7,0.0,1,1,1,101429.52,0
597.0,Germany,Female,56,7,80476.37,1,1,1,119466.23,0
748.0,France,Female,49,8,85902.68,1,0,0,88473.19,0
668.0,Germany,Male,30,8,0.0,1,1,0,90764.26,0
617.0,France,Female,26,4,109133.45,2,1,1,198369.11,0
555.0,Germany,Male,48,8,47979.42,1,0,0,106462.67,1
539.0,France,Female,48,7,167231.47,1,1,1,70647.24,0
676.0,France,Female,34,10,70435.69,1,1,0,90444.33,0
701.0,France,Male,50,3,64792.76,1,1,0,160944.35,0
599.0,Spain,Male,39,1,0.0,2,1,1,63897.97,0
735.0,Spain,Female,44,9,0.0,1,1,1,174384.09,0
584.0,France,Male,33,8,0.0,1,0,1,172314.64,0
684.0,Germany,Male,44,9,80477.72,2,1,0,59663.78,1
682.0,Germany,Female,39,3,189196.46,2,1,1,173624.8,0
723.0,Germany,Male,45,5,0.0,2,1,1,30888.69,1
828.0,Spain,Female,23,3,80073.57,2,0,0,989.89,0
687.0,Germany,Female,44,6,140267.42,1,1,0,61061.0,1
680.0,Germany,Male,49,3,175734.53,1,1,1,193780.02,1
614.0,France,Female,33,9,146981.17,2,1,1,169116.21,1
603.0,Spain,Female,35,3,66167.42,2,1,1,193557.59,0
671.0,Spain,Male,35,7,0.0,1,1,1,155108.27,0
708.0,France,Female,52,7,126663.97,2,1,1,85571.16,0
457.0,France,Female,34,6,0.0,2,1,1,102497.39,0
517.0,Germany,Female,36,9,122108.54,2,1,1,24971.85,1
765.0,France,Female,25,9,0.0,1,0,0,123400.47,0
641.0,Spain,Male,37,5,63257.26,1,1,0,136666.2,0
707.0,France,Female,18,4,91428.71,2,1,0,126285.18,0
732.0,Spain,Female,28,0,40010.7,1,1,1,52854.18,0
676.0,France,Male,40,3,44165.26,1,0,0,14455.24,0
735.0,France,Male,40,0,101288.9,1,1,0,132724.31,0
642.0,France,Male,23,0,182949.68,2,0,1,97882.38,0
701.0,France,Female,62,6,0.0,1,1,0,101349.41,0
710.0,Germany,Male,37,3,113708.31,1,1,1,38968.35,0
627.0,France,Male,30,7,22068.99,1,0,0,121625.3,0
606.0,Spain,Female,46,9,147640.96,1,1,1,163011.17,0
550.0,Germany,Female,43,4,207334.61,1,0,0,102130.15,1
739.0,Spain,Male,29,1,59897.69,2,0,0,74895.34,0
641.0,Germany,Female,33,10,195337.5,1,1,1,174825.98,1
550.0,France,Female,39,10,0.0,2,1,1,2133.02,0
629.0,Spain,Female,45,8,36457.99,1,0,1,48439.67,0
850.0,France,Male,41,1,123624.22,1,0,1,146633.97,0
709.0,France,Female,53,3,0.0,2,1,1,136001.02,0
634.0,Germany,Male,41,7,260000.0,1,1,0,103131.95,1
522.0,Germany,Male,30,3,0.0,2,1,1,1505.49,0
643.0,France,Male,37,1,68473.55,2,1,0,71410.32,1
646.0,Germany,Male,44,1,87817.7,1,1,1,192531.53,0
638.0,France,Female,42,8,140028.08,2,1,1,142537.03,0
622.0,Germany,Female,53,0,182755.46,2,1,1,96781.66,1
615.0,Spain,Male,49,0,104975.38,2,1,0,138866.38,0
628.0,France,Male,28,6,236347.01,1,0,0,153584.32,0
611.0,Spain,Male,44,3,0.0,1,1,1,104057.23,0
519.0,France,Male,38,10,59455.34,2,1,1,162500.41,0
812.0,France,Male,39,2,0.0,1,1,0,14413.58,0
751.0,France,Male,54,7,214422.51,1,1,1,163883.15,0
717.0,Spain,Male,53,9,0.0,1,1,0,119693.74,0
720.0,Germany,Female,49,5,174231.29,1,1,1,71916.2,0
